player_id,player_name,pfr_player_name,position,recent_team,week,season_type,opponent_team,passing_yards,passing_tds,sacks,sack_yards,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,rushing_yards,rushing_tds,fantasy_points,fantasy_points_ppr,passing_drops,passing_drop_pct,passing_bad_throws,passing_bad_throw_pct,times_sacked,times_blitzed,times_hurried,times_hit,times_pressured,times_pressured_pct,avg_time_to_throw,avg_completed_air_yards,avg_intended_air_yards,avg_air_yards_differential,aggressiveness,max_completed_air_distance,avg_air_yards_to_sticks,attempts,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,avg_air_distance,max_air_distance,offense_snaps,offense_pct,passing_yards_rolling_3,passing_tds_rolling_3,sacks_rolling_3,sack_yards_rolling_3,passing_air_yards_rolling_3,passing_yards_after_catch_rolling_3,passing_first_downs_rolling_3,passing_epa_rolling_3,passing_2pt_conversions_rolling_3,pacr_rolling_3,rushing_yards_rolling_3,rushing_tds_rolling_3,fantasy_points_rolling_3,fantasy_points_ppr_rolling_3,passing_drops_rolling_3,passing_drop_pct_rolling_3,passing_bad_throws_rolling_3,passing_bad_throw_pct_rolling_3,times_sacked_rolling_3,times_blitzed_rolling_3,times_hurried_rolling_3,times_hit_rolling_3,times_pressured_rolling_3,times_pressured_pct_rolling_3,avg_time_to_throw_rolling_3,avg_completed_air_yards_rolling_3,avg_intended_air_yards_rolling_3,avg_air_yards_differential_rolling_3,aggressiveness_rolling_3,max_completed_air_distance_rolling_3,avg_air_yards_to_sticks_rolling_3,attempts_rolling_3,interceptions_rolling_3,passer_rating_rolling_3,completions_rolling_3,completion_percentage_rolling_3,expected_completion_percentage_rolling_3,completion_percentage_above_expectation_rolling_3,avg_air_distance_rolling_3,max_air_distance_rolling_3,offense_snaps_rolling_3,offense_pct_rolling_3,passing_yards_rolling_5,passing_tds_rolling_5,sacks_rolling_5,sack_yards_rolling_5,passing_air_yards_rolling_5,passing_yards_after_catch_rolling_5,passing_first_downs_rolling_5,passing_epa_rolling_5,passing_2pt_conversions_rolling_5,pacr_rolling_5,rushing_yards_rolling_5,rushing_tds_rolling_5,fantasy_points_rolling_5,fantasy_points_ppr_rolling_5,passing_drops_rolling_5,passing_drop_pct_rolling_5,passing_bad_throws_rolling_5,passing_bad_throw_pct_rolling_5,times_sacked_rolling_5,times_blitzed_rolling_5,times_hurried_rolling_5,times_hit_rolling_5,times_pressured_rolling_5,times_pressured_pct_rolling_5,avg_time_to_throw_rolling_5,avg_completed_air_yards_rolling_5,avg_intended_air_yards_rolling_5,avg_air_yards_differential_rolling_5,aggressiveness_rolling_5,max_completed_air_distance_rolling_5,avg_air_yards_to_sticks_rolling_5,attempts_rolling_5,interceptions_rolling_5,passer_rating_rolling_5,completions_rolling_5,completion_percentage_rolling_5,expected_completion_percentage_rolling_5,completion_percentage_above_expectation_rolling_5,avg_air_distance_rolling_5,max_air_distance_rolling_5,offense_snaps_rolling_5,offense_pct_rolling_5,passing_yards_season_avg,passing_tds_season_avg,sacks_season_avg,sack_yards_season_avg,passing_air_yards_season_avg,passing_yards_after_catch_season_avg,passing_first_downs_season_avg,passing_epa_season_avg,passing_2pt_conversions_season_avg,pacr_season_avg,rushing_yards_season_avg,rushing_tds_season_avg,fantasy_points_season_avg,fantasy_points_ppr_season_avg,passing_drops_season_avg,passing_drop_pct_season_avg,passing_bad_throws_season_avg,passing_bad_throw_pct_season_avg,times_sacked_season_avg,times_blitzed_season_avg,times_hurried_season_avg,times_hit_season_avg,times_pressured_season_avg,times_pressured_pct_season_avg,avg_time_to_throw_season_avg,avg_completed_air_yards_season_avg,avg_intended_air_yards_season_avg,avg_air_yards_differential_season_avg,aggressiveness_season_avg,max_completed_air_distance_season_avg,avg_air_yards_to_sticks_season_avg,attempts_season_avg,interceptions_season_avg,passer_rating_season_avg,completions_season_avg,completion_percentage_season_avg,expected_completion_percentage_season_avg,completion_percentage_above_expectation_season_avg,avg_air_distance_season_avg,max_air_distance_season_avg,offense_snaps_season_avg,offense_pct_season_avg
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,2,REG,TEN,176,2,2,12,167,96,9,1.6537689,0,1.0538923,1,0,15.14,15.14,3.0,0.103,7.0,0.241,2.0,8.0,1.0,1.0,4.0,0.121,2.4546,3.721666667,4.755172414,-1.033505747,23.33333333,37.81002248,-4.244827586,30.0,0.0,98.75,18.0,60.0,67.85145144,-7.851451437,19.08784917,52.85156667,57,1.0,167.0,1.0,1.0,5.0,164.0,93.0,8.0,3.258283,0.0,1.0182927,-1.0,0.0,8.58,8.58,2.0,0.095,4.0,0.19,1.0,2.0,1.0,2.0,4.0,0.182,2.473190476,4.695384615,6.343333333,-1.647948718,14.28571429,36.93872223,-0.8471428571,21.0,1.0,82.83730159,13.0,61.9047619,72.55851229,-10.65375039,19.91537664,40.82321031,38.0,0.75,167.0,1.0,1.0,5.0,164.0,93.0,8.0,3.258283,0.0,1.0182927,-1.0,0.0,8.58,8.58,2.0,0.095,4.0,0.19,1.0,2.0,1.0,2.0,4.0,0.182,2.473190476,4.695384615,6.343333333,-1.647948718,14.28571429,36.93872223,-0.8471428571,21.0,1.0,82.83730159,13.0,61.9047619,72.55851229,-10.65375039,19.91537664,40.82321031,38.0,0.75,167.0,1.0,1.0,5.0,164.0,93.0,8.0,3.258283,0.0,1.0182927,-1.0,0.0,8.58,8.58,2.0,0.095,4.0,0.19,1.0,2.0,1.0,2.0,4.0,0.182,2.473190476,4.695384615,6.343333333,-1.647948718,14.28571429,36.93872223,-0.8471428571,21.0,1.0,82.83730159,13.0,61.9047619,72.55851229,-10.65375039,19.91537664,40.82321031,38.0,0.75
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,3,REG,NE,281,2,2,14,226,152,16,18.204784,0,1.2433628,18,0,21.04,21.04,2.0,0.057,5.0,0.143,2.0,6.0,0.0,2.0,4.0,0.1,2.586114286,4.435555556,5.900882353,-1.465326797,17.14285714,27.92127504,-2.510882353,35.0,0.0,118.8690476,27.0,77.14285714,67.63810728,9.50474986,19.6484043,32.87339502,73,1.0,171.5,1.5,1.5,8.5,165.5,94.5,8.5,2.45602595,0.0,1.0360925,0.0,0.0,11.86,11.86,2.5,0.099,5.5,0.2155,1.5,5.0,1.0,1.5,4.0,0.1515,2.463895238,4.208525641,5.5492528735,-1.3407272325,18.809523809999998,37.374372355000006,-2.54598522155,25.5,0.5,90.79365079499999,15.5,60.95238095,70.20498186500001,-9.2526009135,19.501612905,46.837388489999995,47.5,0.875,171.5,1.5,1.5,8.5,165.5,94.5,8.5,2.45602595,0.0,1.0360925,0.0,0.0,11.86,11.86,2.5,0.099,5.5,0.2155,1.5,5.0,1.0,1.5,4.0,0.1515,2.463895238,4.208525641,5.5492528735,-1.3407272325,18.809523809999998,37.374372355000006,-2.54598522155,25.5,0.5,90.79365079499999,15.5,60.95238095,70.20498186500001,-9.2526009135,19.501612905,46.837388489999995,47.5,0.875,171.5,1.5,1.5,8.5,165.5,94.5,8.5,2.45602595,0.0,1.0360925,0.0,0.0,11.86,11.86,2.5,0.099,5.5,0.2155,1.5,5.0,1.0,1.5,4.0,0.1515,2.463895238,4.208525641,5.5492528735,-1.3407272325,18.809523809999998,37.374372355000006,-2.54598522155,25.5,0.5,90.79365079499999,15.5,60.95238095,70.20498186500001,-9.2526009135,19.501612905,46.837388489999995,47.5,0.875
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,4,REG,DEN,225,0,5,41,306,96,10,-12.087543,0,0.7352941,26,0,11.6,11.6,2.0,0.049,11.0,0.268,5.0,21.0,1.0,8.0,14.0,0.275,2.534166667,4.684583333,7.035121951,-2.350538618,19.04761905,37.95282466,-2.72097561,42.0,0.0,72.02380952,24.0,57.14285714,67.65228953,-10.50943239,19.960963,39.10716175,74,1.0,208.0,1.6666666666666667,1.6666666666666667,10.333333333333334,185.66666666666666,113.66666666666667,11.0,7.705611966666666,0.0,1.1051826,6.0,0.0,14.92,14.92,2.3333333333333335,0.085,5.333333333333333,0.19133333333333333,1.6666666666666667,5.333333333333333,0.6666666666666666,1.6666666666666667,4.0,0.13433333333333333,2.5046349206666667,4.284202279333333,5.6664627,-1.3822604206666667,18.253968253333333,34.22333991666667,-2.534284265366667,28.666666666666668,0.3333333333333333,100.15211639666666,19.333333333333332,66.34920634666666,69.34935700333334,-3.000150655666667,19.55054337,42.182724,56.0,0.9166666666666666,208.0,1.6666666666666667,1.6666666666666667,10.333333333333334,185.66666666666666,113.66666666666667,11.0,7.705611966666666,0.0,1.1051826,6.0,0.0,14.92,14.92,2.3333333333333335,0.085,5.333333333333333,0.19133333333333333,1.6666666666666667,5.333333333333333,0.6666666666666666,1.6666666666666667,4.0,0.13433333333333333,2.5046349206666667,4.284202279333333,5.6664627,-1.3822604206666667,18.253968253333333,34.22333991666667,-2.534284265366667,28.666666666666668,0.3333333333333333,100.15211639666666,19.333333333333332,66.34920634666666,69.34935700333334,-3.000150655666667,19.55054337,42.182724,56.0,0.9166666666666666,208.0,1.6666666666666667,1.6666666666666667,10.333333333333334,185.66666666666666,113.66666666666667,11.0,7.705611966666666,0.0,1.1051826,6.0,0.0,14.92,14.92,2.3333333333333335,0.085,5.333333333333333,0.19133333333333333,1.6666666666666667,5.333333333333333,0.6666666666666666,1.6666666666666667,4.0,0.13433333333333333,2.5046349206666667,4.284202279333333,5.6664627,-1.3822604206666667,18.253968253333333,34.22333991666667,-2.534284265366667,28.666666666666668,0.3333333333333333,100.15211639666666,19.333333333333332,66.34920634666666,69.34935700333334,-3.000150655666667,19.55054337,42.182724,56.0,0.9166666666666666
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,5,REG,MIN,244,2,3,26,410,123,13,-16.156328,0,0.595122,0,0,11.76,11.76,2.0,0.039,12.0,0.235,3.0,24.0,4.0,8.0,15.0,0.263,2.492574074,3.714482759,7.381372549,-3.66688979,12.96296296,26.76612224,-1.265686275,54.0,3.0,54.86111111,29.0,53.7037037,66.89163579,-13.18793209,20.39404808,40.73412574,72,1.0,227.33333333333334,1.3333333333333333,3.0,22.333333333333332,233.0,114.66666666666667,11.666666666666666,2.5903366333333344,0.0,1.0108497333333333,15.0,0.0,15.926666666666668,15.926666666666668,2.3333333333333335,0.06966666666666667,7.666666666666667,0.2173333333333333,3.0,11.666666666666666,0.6666666666666666,3.6666666666666665,7.333333333333333,0.16533333333333336,2.524960317666667,4.280601852,5.897058906000001,-1.6164570539999998,19.84126984,34.56137406,-3.1588951830000003,35.666666666666664,0.0,96.54761904000001,23.0,64.76190476,67.71394941666667,-2.9520446556666666,19.56573882333333,41.61070781333333,68.0,1.0,212.25,1.25,2.5,18.0,215.75,109.25,10.75,2.7573232250000004,0.0,1.012710475,11.0,0.0,14.09,14.09,2.25,0.076,6.75,0.2105,2.5,9.25,0.75,3.25,6.5,0.1695,2.51201785725,4.38429754275,6.0086275127499995,-1.62432997,18.4523809525,35.1557111025,-2.580957101525,32.0,0.25,93.1200396775,20.5,64.047619045,68.925090135,-4.87747108925,19.6531482775,41.4138334375,60.5,0.9375,212.25,1.25,2.5,18.0,215.75,109.25,10.75,2.7573232250000004,0.0,1.012710475,11.0,0.0,14.09,14.09,2.25,0.076,6.75,0.2105,2.5,9.25,0.75,3.25,6.5,0.1695,2.51201785725,4.38429754275,6.0086275127499995,-1.62432997,18.4523809525,35.1557111025,-2.580957101525,32.0,0.25,93.1200396775,20.5,64.047619045,68.925090135,-4.87747108925,19.6531482775,41.4138334375,60.5,0.9375
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,6,REG,BUF,294,2,3,22,257,138,12,11.157052,0,1.1439688,0,0,17.76,17.76,3.0,0.088,1.0,0.029,3.0,6.0,2.0,2.0,7.0,0.184,2.7504,6.71826087,8.185588235,-1.467327366,14.28571429,61.43847736,-1.785,35.0,1.0,98.98809524,23.0,65.71428571,67.00558824,-1.291302528,20.14410415,61.43847736,63,1.0,250.0,1.3333333333333333,3.3333333333333335,27.0,314.0,123.66666666666667,13.0,-3.346362333333332,0.0,0.8579263,14.666666666666666,0.0,14.799999999999999,14.799999999999999,2.0,0.04833333333333334,9.333333333333334,0.2153333333333333,3.3333333333333335,17.0,1.6666666666666667,6.0,11.0,0.2126666666666667,2.5376183423333334,4.278207215999999,6.772458951,-2.494251735,16.384479716666668,30.880073979999995,-2.1658480793333332,43.666666666666664,1.0,81.91798941,26.666666666666668,62.66313932666666,67.39401086666666,-4.73087154,20.001138460000004,37.57156083666666,73.0,1.0,218.6,1.4,2.6,19.6,254.6,112.0,11.2,-1.0254070199999994,0.0,0.9291927799999999,8.8,0.0,13.624,13.624,2.2,0.0686,7.8,0.21539999999999998,2.6,12.2,1.4,4.2,8.2,0.1882,2.5081291006,4.250334585999999,6.28317652,-2.032841934,17.354497354,33.47779333,-2.3179029362200003,36.4,0.8,85.468253964,22.2,61.978835976000006,68.518399266,-6.5395632894,19.801328238,41.277891898,62.8,0.95,218.6,1.4,2.6,19.6,254.6,112.0,11.2,-1.0254070199999994,0.0,0.9291927799999999,8.8,0.0,13.624,13.624,2.2,0.0686,7.8,0.21539999999999998,2.6,12.2,1.4,4.2,8.2,0.1882,2.5081291006,4.250334585999999,6.28317652,-2.032841934,17.354497354,33.47779333,-2.3179029362200003,36.4,0.8,85.468253964,22.2,61.978835976000006,68.518399266,-6.5395632894,19.801328238,41.277891898,62.8,0.95
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,7,REG,PIT,276,1,1,7,203,186,13,-0.96827877,1,1.3596059,0,0,13.04,13.04,1.0,0.026,9.0,0.231,1.0,9.0,0.0,7.0,8.0,0.2,2.45625641,3.386666667,5.326923077,-1.94025641,10.25641026,35.61386528,-3.467948718,39.0,2.0,70.03205128,24.0,61.53846154,71.85823713,-10.31977559,18.19746574,35.77552515,57,1.0,254.33333333333334,1.3333333333333333,3.6666666666666665,29.666666666666668,324.3333333333333,119.0,11.666666666666666,-5.695606333333333,0.0,0.8247949666666665,8.666666666666666,0.0,13.706666666666669,13.706666666666669,2.3333333333333335,0.058666666666666666,8.0,0.17733333333333332,3.6666666666666665,17.0,2.3333333333333335,6.0,12.0,0.2406666666666667,2.592380247,5.039108987333333,7.534027578333333,-2.494918591333333,15.43209876666667,42.052474753333335,-1.923887295,43.666666666666664,1.3333333333333333,75.29100529,25.333333333333332,58.85361551666667,67.18317118666666,-8.329555669333333,20.166371743333332,47.093254949999995,69.66666666666667,1.0,244.0,1.6,3.0,23.0,273.2,121.0,12.0,0.5543467800000006,0.0,0.954328,9.0,0.0,15.459999999999999,15.459999999999999,2.4,0.0672,7.2,0.1832,3.0,13.0,1.6,4.2,8.8,0.18860000000000002,2.5635710054,4.654909837,6.651627500399999,-1.9967176635999997,17.354497354,38.377744356,-2.5054743648,39.2,0.8,88.69841269400001,24.2,62.740740738,67.407814456,-4.667073717,19.84707374,45.400945308,67.8,1.0,231.16666666666666,1.5,2.6666666666666665,20.0,255.0,116.33333333333333,11.333333333333334,1.0050028166666671,0.0,0.9649887833333333,7.333333333333333,0.0,14.313333333333333,14.313333333333333,2.3333333333333335,0.07183333333333333,6.666666666666667,0.18433333333333332,2.6666666666666665,11.166666666666666,1.5,3.8333333333333335,8.0,0.1875,2.548507583833333,4.661655633333333,6.600245139166667,-1.9385895059999998,16.84303351,38.137907335,-2.229085780183333,36.166666666666664,0.8333333333333334,87.72156084333334,22.333333333333332,62.60141093166666,68.266264095,-5.664853162500001,19.858457556666668,44.637989475000005,62.833333333333336,0.9583333333333334
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,8,REG,NE,233,2,1,9,274,67,12,5.1627393,0,0.850365,0,0,17.32,17.32,2.0,0.08,4.0,0.16,1.0,5.0,2.0,4.0,7.0,0.241,3.129714286,9.488823529,10.1332,-0.6443764706,28.57142857,46.08544781,2.5732,28.0,0.0,111.1607143,17.0,60.71428571,53.24786933,7.46641638,24.31561723,46.08544781,62,1.0,271.3333333333333,1.6666666666666667,2.3333333333333335,18.333333333333332,290.0,149.0,12.666666666666666,-1.9891849233333314,0.3333333333333333,1.0328989,0.0,0.0,14.186666666666667,14.186666666666667,2.0,0.051,7.333333333333333,0.16499999999999998,2.3333333333333335,13.0,2.0,5.666666666666667,10.0,0.21566666666666667,2.566410161333333,4.606470098666667,6.964627953666667,-2.3581578553333333,12.501695836666668,41.27282162666666,-2.172878331,42.666666666666664,2.0,74.62708587666668,25.333333333333332,60.318816983333335,68.58515372,-8.266336736,19.578539323333334,45.982709416666665,64.0,1.0,264.0,1.4,2.8,22.0,280.4,139.0,12.8,0.02993724600000065,0.2,1.0154707200000002,8.8,0.0,15.040000000000001,15.040000000000001,2.0,0.0518,7.6,0.1812,2.8,13.2,1.4,5.4,9.6,0.20440000000000005,2.5639022874,4.587909837,6.765977633,-2.1780677961999997,14.739112740000001,37.93851291599999,-2.3500985912,41.0,1.2,82.95482295000001,25.4,63.048433046,68.209171594,-5.1607385476,19.668997054,41.985737004,67.8,1.0,237.57142857142858,1.4285714285714286,2.4285714285714284,18.142857142857142,247.57142857142858,126.28571428571429,11.571428571428571,0.7231054471428576,0.14285714285714285,1.0213626571428571,6.285714285714286,0.0,14.131428571428572,14.131428571428572,2.142857142857143,0.0652857142857143,7.0,0.191,2.4285714285714284,10.857142857142858,1.2857142857142858,4.285714285714286,8.0,0.1892857142857143,2.535328844714286,4.479514352428572,6.418341987428572,-1.938827635142857,15.902087331428572,37.77732989857143,-2.406066199871429,36.57142857142857,1.0,85.19448804857143,22.571428571428573,62.44956101857143,68.7794031,-6.329842080714286,19.62117301142857,43.37192314285714,62.0,0.9642857142857143
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,9,REG,HOU,211,3,2,18,185,112,11,8.605539,0,1.1405406,-1,0,20.34,20.34,2.0,0.063,4.0,0.125,2.0,13.0,1.0,2.0,5.0,0.147,2.2223125,4.639545455,5.8159375,-1.176392045,12.5,47.0367197,-2.6215625,32.0,0.0,118.0989583,22.0,68.75,69.12566684,-0.3756668419,20.90294513,47.0367197,58,1.0,267.6666666666667,1.6666666666666667,1.6666666666666667,12.666666666666666,244.66666666666666,130.33333333333334,12.333333333333334,5.1171708433333345,0.3333333333333333,1.1179799,0.0,0.0,16.040000000000003,16.040000000000003,2.0,0.06466666666666666,4.666666666666667,0.13999999999999999,1.6666666666666667,6.666666666666667,1.3333333333333333,4.333333333333333,7.333333333333333,0.20833333333333334,2.778790232,6.531250355333333,7.881903770666668,-1.3506534155333334,17.704517706666667,47.71259681666667,-0.8932495726666666,34.0,1.0,93.39362027333334,21.333333333333332,62.65567765333333,64.03723156666666,-1.3815539126666667,20.88572904,47.76648344,60.666666666666664,1.0,254.4,1.4,2.6,21.0,290.0,122.0,12.0,-2.578471693999999,0.2,0.9368711600000001,5.2,0.0,14.296000000000001,14.296000000000001,2.0,0.05639999999999999,7.4,0.18460000000000001,2.6,13.0,1.8,5.8,10.2,0.2326,2.6726222874,5.598563431600001,7.612441162400001,-2.01387773092,17.024827026,41.57134747,-1.3332821205999998,39.6,1.2,81.41315629,23.4,59.76271876,65.331124004,-5.568405243599999,20.60243964,44.628147562,65.6,1.0,237.0,1.5,2.25,17.0,250.875,118.875,11.625,1.2780596787500005,0.125,0.99998795,5.5,0.0,14.53,14.53,2.125,0.067125,6.625,0.18712499999999999,2.25,10.125,1.375,4.25,7.875,0.19575,2.609627024875,5.1056779995,6.882699239,-1.777021239575,17.48575498625,38.8158446375,-1.7836579248875,35.5,0.875,88.44026633,21.875,62.232651605,66.83796137875,-4.605309773125001,20.207978538749998,43.71111372625,62.0,0.96875
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,10,REG,ARI,151,0,3,23,220,83,10,-10.893348,0,0.68636364,0,0,4.04,4.04,1.0,0.03,5.0,0.152,3.0,8.0,4.0,2.0,9.0,0.237,2.696571429,2.451818182,6.319393939,-3.867575758,11.42857143,25.25842434,-0.07454545455,35.0,0.0,72.44047619,22.0,62.85714286,66.333248,-3.476105141,19.60020896,53.87582482,58,1.0,240.0,2.0,1.3333333333333333,11.333333333333334,220.66666666666666,121.66666666666667,12.0,4.266666510000001,0.3333333333333333,1.1168371666666665,-0.3333333333333333,0.0,16.900000000000002,16.900000000000002,1.6666666666666667,0.056333333333333326,5.666666666666667,0.17199999999999996,1.3333333333333333,9.0,1.0,4.333333333333333,6.666666666666667,0.19600000000000004,2.602761065333333,5.838345217,7.092020192333334,-1.2536749751999998,17.10927961,42.91201093,-1.1721037393333333,33.0,0.6666666666666666,99.76390796,21.0,63.66758241666667,64.74392443333333,-1.0763420173,21.138676033333333,42.96589755333333,59.0,1.0,251.6,2.0,2.0,16.4,265.8,125.2,12.2,1.5601447060000009,0.2,1.01792046,-0.2,0.0,16.044,16.044,2.0,0.059199999999999996,6.0,0.156,2.0,11.4,1.8,4.6,8.4,0.207,2.610251454,5.589555856,7.3686042722,-1.7790484163199998,15.715303216,43.388126478,-1.3133994986000002,37.6,1.2,90.628186046,23.0,62.084147332,65.62579946599999,-3.54165213398,20.790836066000004,46.214059152000004,62.4,1.0,234.11111111111111,1.6666666666666667,2.2222222222222223,17.11111111111111,243.55555555555554,118.11111111111111,11.555555555555555,2.092224047777778,0.1111111111111111,1.0156049111111112,4.777777777777778,0.0,15.175555555555555,15.175555555555555,2.111111111111111,0.06666666666666667,6.333333333333333,0.1802222222222222,2.2222222222222223,10.444444444444445,1.3333333333333333,4.0,7.555555555555555,0.19033333333333335,2.566592077666667,5.053885494555555,6.7641701568888895,-1.7102846624,16.93178221,39.7292752,-1.8767584332333334,35.111111111111114,0.7777777777777778,91.73567654888889,21.88888888888889,62.956801426666665,67.09215087444444,-4.135349447433334,20.28519704888889,44.08062550111111,61.55555555555556,0.9722222222222222
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,11,REG,IND,184,2,3,22,124,122,7,-0.44817847,0,1.483871,7,0,16.06,16.06,1.0,0.034,4.0,0.138,3.0,7.0,0.0,2.0,5.0,0.152,2.42637931,2.753181818,4.168965517,-1.415783699,13.79310345,27.71109886,-4.9,29.0,0.0,114.7270115,22.0,75.86206897,71.56992904,4.292139925,16.9328174,42.17526526,51,1.0,198.33333333333334,1.6666666666666667,2.0,16.666666666666668,226.33333333333334,87.33333333333333,11.0,0.9583101000000015,0.0,0.8924230799999999,-0.3333333333333333,0.0,13.9,13.9,1.6666666666666667,0.057666666666666665,4.333333333333333,0.14566666666666664,2.0,8.666666666666666,2.3333333333333335,2.6666666666666665,7.0,0.20833333333333334,2.6828660716666666,5.526729055333333,7.422843813,-1.8961147578666668,17.500000000000004,39.46019728333333,-0.04096931818333336,31.666666666666668,0.0,100.56671626333332,20.333333333333332,64.10714285666667,62.90226139,1.2048814657000004,21.606257106666664,48.99933077666666,59.333333333333336,1.0,233.0,1.6,2.0,15.8,227.8,117.2,11.6,2.6127407060000003,0.2,1.036168788,-0.2,0.0,14.500000000000004,14.500000000000004,1.8,0.05740000000000001,4.6,0.13940000000000002,2.0,8.2,1.8,3.4,7.2,0.20179999999999998,2.651050925,5.3370229406,7.156208550200001,-1.81918560992,15.408424910000003,43.086586898,-1.07517133451,33.8,0.6,94.14405906200001,21.6,63.914835163999996,65.51412190799999,-1.59928674418,20.632068242,48.842398968,59.6,1.0,225.8,1.5,2.3,17.7,241.2,114.6,11.4,0.7936668430000005,0.1,0.982680784,4.3,0.0,14.062000000000001,14.062000000000001,2.0,0.063,6.2,0.1774,2.3,10.2,1.6,3.8,7.7,0.195,2.5795900127999998,4.7936787633,6.7196925351,-1.92601377196,16.381461132000002,38.282190114,-1.6965371353649998,35.1,0.7,89.80615651299999,21.9,62.94683557,67.016260587,-4.06942501679,20.21669824,45.060145433,61.2,0.975
00-0023459,A.Rodgers,Aaron Rodgers,QB,NYJ,13,REG,SEA,185,2,2,16,305,122,12,-14.039031,0,0.60655737,6,0,14.0,14.0,3.0,0.079,11.0,0.289,2.0,10.0,3.0,4.0,9.0,0.214,2.842923077,2.695238095,8.398157895,-5.702919799,10.25641026,36.08433732,-0.5492105263,39.0,1.0,73.13034188,21.0,53.84615385,66.90142552,-13.05527167,21.92402979,46.24619552,68,1.0,182.0,1.6666666666666667,2.6666666666666665,21.0,176.33333333333334,105.66666666666667,9.333333333333334,-0.911995823333332,0.0,1.1035917466666667,2.0,0.0,13.479999999999999,13.479999999999999,1.3333333333333333,0.042333333333333334,4.333333333333333,0.1383333333333333,2.6666666666666665,9.333333333333334,1.6666666666666667,2.0,6.333333333333333,0.17866666666666667,2.4484210796666663,3.281515151666667,5.434765652,-2.1532505006666667,12.573891626666667,33.335414300000004,-2.53203598485,32.0,0.0,101.75548199666666,22.0,69.15640394333333,69.00961462666666,0.14678931403333362,19.14532383,47.69593659333333,55.666666666666664,1.0,211.0,1.6,2.0,15.8,201.2,114.0,10.6,0.29169461200000096,0.2,1.104149228,1.2,0.0,14.16,14.16,1.4,0.046599999999999996,5.2,0.1612,2.0,8.4,1.4,3.4,6.8,0.19540000000000002,2.5862467870000003,4.5440071302,6.3528840066,-1.80887687652,15.309902742,36.341111198,-1.69817133451,32.6,0.4,97.291842314,21.4,65.94439181599999,66.42699006800001,-0.48259825357999997,19.989810892,44.989756548,57.2,1.0,222.0,1.5454545454545454,2.3636363636363638,18.09090909090909,230.54545454545453,115.27272727272727,11.0,0.680771814545455,0.09090909090909091,1.028243530909091,4.545454545454546,0.0,14.243636363636364,14.243636363636364,1.9090909090909092,0.06036363636363637,6.0,0.17381818181818182,2.3636363636363638,9.909090909090908,1.4545454545454546,3.6363636363636362,7.454545454545454,0.1910909090909091,2.565661767090909,4.608179041,6.487808260727274,-1.8796292198727271,16.14615588818182,37.32118181818182,-1.98776103215,34.54545454545455,0.6363636363636364,92.07168878454546,21.90909090909091,64.12094769727273,67.43023044636364,-3.3092827493545456,19.91816361818182,44.79788359909091,60.27272727272727,0.9772727272727273
